region,province,city,district,psgc,xcode
Region I,Ilocos Norte,Dingras,Cali,012809009,01IN09009
Region I,Ilocos Norte,Dingras,Capasan,012809010,01IN09010
Region I,Ilocos Norte,Dingras,Dancel,012809011,01IN09011
Region I,Ilocos Norte,Dingras,Foz,012809012,01IN09012
Region I,Ilocos Norte,Dingras,Guerrero,012809013,01IN09013
Region I,Ilocos Norte,Dingras,Lanas,012809014,01IN09014
Region I,Ilocos Norte,Dingras,Lumbad,012809015,01IN09015
Region I,Ilocos Norte,Dingras,Madamba,012809016,01IN09016
Region I,Ilocos Norte,Dingras,Mandaloque,012809017,01IN09017
Region I,Ilocos Norte,Dingras,Medina,012809018,01IN09018
Region I,Ilocos Norte,Dingras,Ver,012809019,01IN09019
Region I,Ilocos Norte,Dingras,San Marcelino,012809020,01IN09020
Region I,Ilocos Norte,Dingras,Puruganan,012809021,01IN09021
Region I,Ilocos Norte,Dingras,Peralta,012809022,01IN09022
Region I,Ilocos Norte,Dingras,Root,012809023,01IN09023
Region I,Ilocos Norte,Dingras,Sagpatan,012809024,01IN09024
Region I,Ilocos Norte,Dingras,Saludares,012809025,01IN09025
Region I,Ilocos Norte,Dingras,San Esteban,012809026,01IN09026
Region I,Ilocos Norte,Dingras,Espiritu,012809027,01IN09027
Region I,Ilocos Norte,Dingras,Sulquiano,012809028,01IN09028
Region I,Ilocos Norte,Dingras,San Francisco,012809029,01IN09029
Region I,Ilocos Norte,Dingras,Suyo,012809030,01IN09030
Region I,Ilocos Norte,Dingras,San Marcos,012809031,01IN09031
Region I,Ilocos Norte,Dingras,Elizabeth,012809032,01IN09032
Region I,Ilocos Norte,Dumalneg,Cabaritan,012810001,01IN10001
Region I,Ilocos Norte,Dumalneg,San Isidro,012810002,01IN10002
Region I,Ilocos Norte,Dumalneg,Kalaw,012810003,01IN10003
Region I,Ilocos Norte,Dumalneg,Quibel,012810004,01IN10004
Region I,Ilocos Norte,Banna,Balioeg,012811001,01IN11001
Region I,Ilocos Norte,Banna,Bangsar,012811002,01IN11002
Region I,Ilocos Norte,Banna,Barbarangay,012811003,01IN11003
Region I,Ilocos Norte,Banna,Bomitog,012811004,01IN11004
Region I,Ilocos Norte,Banna,Bugasi,012811005,01IN11005
Region I,Ilocos Norte,Banna,Caestebanan,012811006,01IN11006
Region I,Ilocos Norte,Banna,Caribquib,012811008,01IN11008
Region I,Ilocos Norte,Banna,Catagtaguen,012811009,01IN11009
Region I,Ilocos Norte,Banna,Crispina,012811011,01IN11011
Region I,Ilocos Norte,Banna,Hilario,012811012,01IN11012
Region I,Ilocos Norte,Banna,Imelda,012811013,01IN11013
Region I,Ilocos Norte,Banna,Lorenzo,012811014,01IN11014
Region I,Ilocos Norte,Banna,Macayepyep,012811015,01IN11015
Region I,Ilocos Norte,Banna,Marcos,012811016,01IN11016
Region I,Ilocos Norte,Banna,Nagpatayan,012811017,01IN11017
