name,type,xcode
San Roque,district,01IN21019
San Vicente,district,01IN21020
Santa Barbara,district,01IN21021
Santa Magdalena,district,01IN21022
Santa Rosa,district,01IN21023
Santo Santiago,district,01IN21024
Santo Tomas,district,01IN21025
Solsona,city,01IN22000
Aguitap,district,01IN22001
Bagbag,district,01IN22002
Bagbago,district,01IN22003
Barcelona,district,01IN22004
Bubuos,district,01IN22005
Capurictan,district,01IN22006
Catangraran,district,01IN22007
Darasdas,district,01IN22008
Juan,district,01IN22009
Laureta,district,01IN22010
Lipay,district,01IN22011
Maananteng,district,01IN22012
Manalpac,district,01IN22013
Mariquet,district,01IN22014
Nagpatpatan,district,01IN22015
Nalasin,district,01IN22016
Puttao,district,01IN22017
San Juan,district,01IN22018
San Julian,district,01IN22019
Santa Ana,district,01IN22020
Santiago,district,01IN22021
Talugtog,district,01IN22022
Vintar,city,01IN23000
Abkir,district,01IN23001
Alsem,district,01IN23003
Bago,district,01IN23005
Bulbulala,district,01IN23010
Cabangaran,district,01IN23011
Cabayo,district,01IN23012
Cabisocolan,district,01IN23013
Canaam,district,01IN23014
Columbia,district,01IN23015
Dagupan,district,01IN23016
Pedro F. Alviar,district,01IN23017
Dipilat,district,01IN23019
Esperanza,district,01IN23022
Ester,district,01IN23023
Isic Isic,district,01IN23024
Lubnac,district,01IN23027
Mabanbanag,district,01IN23028
Alejo Malasig,district,01IN23030
Manarang,district,01IN23031
Margaay,district,01IN23033
Namoroc,district,01IN23035
Malampa,district,01IN23038
Parparoroc,district,01IN23039
Parut,district,01IN23040
Salsalamagui,district,01IN23047
San Jose,district,01IN23049
San Nicolas,district,01IN23050
San Pedro,district,01IN23051
San Ramon,district,01IN23052
San Roque,district,01IN23053
Santa Maria,district,01IN23054
Tamdagan,district,01IN23056
Visaya,district,01IN23058
Ilocos Sur,province,01IS00000
Alilem,city,01IS01000
Alilem Daya,district,01IS01001
Amilongan,district,01IS01002
Anaao,district,01IS01003
Apang,district,01IS01004
Apaya,district,01IS01005
Batbato,district,01IS01006
Daddaay,district,01IS01010
Dalawa,district,01IS01011
Kiat,district,01IS01013
Banayoyo,city,01IS02000
Bagbagotot,district,01IS02001
Banbanaal,district,01IS02002
Bisangol,district,01IS02004
Cadanglaan,district,01IS02005
Casilagan Norte,district,01IS02006
Casilagan Sur,district,01IS02007
Elefante,district,01IS02008
Guardia,district,01IS02009
Lintic,district,01IS02010
Lopez,district,01IS02011
Montero,district,01IS02012
Naguimba,district,01IS02013
Pila,district,01IS02014
Poblacion,district,01IS02015
Bantay,city,01IS03000
Aggay,district,01IS03001
An-Annam,district,01IS03002
Balaleng,district,01IS03003
Banaoang,district,01IS03004
Bulag,district,01IS03005
Buquig,district,01IS03006
Cabalanggan,district,01IS03007
Cabaroan,district,01IS03008
Cabusligan,district,01IS03009
Capangdanan,district,01IS03010
Guimod,district,01IS03011
Lingsat,district,01IS03012
Malingeb,district,01IS03013
Mira,district,01IS03014
Naguiddayan,district,01IS03015
Ora,district,01IS03016
Paing,district,01IS03017
Puspus,district,01IS03018
Quimmarayan,district,01IS03019
Sagneb,district,01IS03020
Sagpat,district,01IS03021
San Mariano,district,01IS03022
San Isidro,district,01IS03023
San Julian,district,01IS03024
Sinabaan,district,01IS03026
Taguiporo,district,01IS03027
Taleb,district,01IS03028
Tay-Ac,district,01IS03029
Barangay 1,district,01IS03030
Barangay 2,district,01IS03031
Barangay 3,district,01IS03032
Barangay 4,district,01IS03033
Barangay 5,district,01IS03034
Barangay 6,district,01IS03035
Burgos,city,01IS04000
Ambugat,district,01IS04001
Balugang,district,01IS04002
Bangbangar,district,01IS04003
Bessang,district,01IS04005
Cabcaburao,district,01IS04006
Cadacad,district,01IS04007
Callitong,district,01IS04008
Dayanki,district,01IS04009
Lesseb,district,01IS04010
Lubing,district,01IS04011
Lucaban,district,01IS04012
Luna,district,01IS04013
Macaoayan,district,01IS04014
